"Gene.Ontology.ID","Gene.name","Uniprot.ID"
"GO:0016874","aas","E1WAQ3"
"GO:0005524","aas","E1WAQ3"
"GO:0005886","aas","E1WAQ3"
"GO:0016740","aas","E1WAQ3"
"GO:0016021","aas","E1WAQ3"
"GO:0008654","aas","E1WAQ3"
"GO:0006631","aas","E1WAQ3"
"GO:0000166","aas","E1WAQ3"
"GO:0008152","aas","E1WAQ3"
"GO:0008779","aas","E1WAQ3"
"GO:0016020","aas","E1WAQ3"
"GO:0003824","aas","E1WAQ3"
"GO:0016740","aat","E1W6Y7"
"GO:0005737","aat","E1W6Y7"
"GO:0008914","aat","E1W6Y7"
"GO:0030163","aat","E1W6Y7"
"GO:0006633","accA","E1W8A4"
"GO:0000166","accA","E1W8A4"
"GO:0005737","accA","E1W8A4"
"GO:0016874","accA","E1W8A4"
"GO:0009317","accA","E1W8A4"
"GO:0005524","accA","E1W8A4"
"GO:0003989","accA","E1W8A4"
"GO:0016740","accA","E1W8A4"
"GO:0006631","accA","E1W8A4"
"GO:0016743","accA","E1W8A4"
"GO:2001295","accA","E1W8A4"
"GO:0006629","accA","E1W8A4"
"GO:0022857","acrA","E1W8Y5"
"GO:0005215","acrA","E1W8Y5"
"GO:0016020","acrA","E1W8Y5"
"GO:0003677","acrR","E1W8Y6"
"GO:0016301","adk","E1W8Z6"
"GO:0006139","adk","E1W8Z6"
"GO:0044209","adk","E1W8Z6"
"GO:0009165","adk","E1W8Z6"
"GO:0000166","adk","E1W8Z6"
"GO:0005524","adk","E1W8Z6"
"GO:0046940","adk","E1W8Z6"
"GO:0016310","adk","E1W8Z6"
"GO:0005737","adk","E1W8Z6"
"GO:0016740","adk","E1W8Z6"
"GO:0052689","aes","E1W8Z8"
"GO:0016787","aes","E1W8Z8"
"GO:0005737","aes","E1W8Z8"
"GO:0016491","ahpC","E1W9A9"
"GO:0005737","ahpC","E1W9A9"
"GO:0016209","ahpC","E1W9A9"
"GO:0006979","ahpC","E1W9A9"
"GO:0004601","ahpC","E1W9A9"
"GO:0098869","ahpC","E1W9A9"
"GO:0045454","ahpC","E1W9A9"
"GO:0005623","ahpC","E1W9A9"
"GO:0055114","ahpC","E1W9A9"
"GO:0051920","ahpC","E1W9A9"
"GO:0015035","ahpF","E1W9B0"
"GO:0008785","ahpF","E1W9B0"
"GO:0045454","ahpF","E1W9B0"
"GO:0022900","ahpF","E1W9B0"
"GO:0005623","ahpF","E1W9B0"
"GO:0016491","ahpF","E1W9B0"
