Gene.Ontology.ID,Function
GO:0003674,  molecular_function
GO:0003824,  catalytic activity  [isa: 0003674 ]
GO:0004133,  glycogen debranching enzyme activity  [isa: 0003824  0003674 ]
GO:0004134,  4-alpha-glucanotransferase activity  [isa: 0004133  0003824  0003674 ]
GO:0009975,  cyclase activity  [isa: 0003824  0003674 ]
GO:0003963,  RNA-3'-phosphate cyclase activity  [isa: 0009975  0003824  0003674 ]
GO:0004016,  adenylate cyclase activity  [isa: 0009975  0003824  0003674 ]
GO:0016491,  oxidoreductase activity  [isa: 0003824  0003674 ]
GO:0004497,  monooxygenase activity  [isa: 0016491  0003824  0003674 ]
GO:0009055,  electron transfer activity  [isa: 0016491  0003824  0003674 ]
GO:0004129,  cytochrome-c oxidase activity  [isa: 0009055  0016491  0003824  0003674 ]
GO:0004174,  electron-transferring-flavoprotein dehydrogenase activity  [isa: 0009055  0016491  0003824  0003674 ]
GO:0015002,  heme-copper terminal oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0008827,  cytochrome o ubiquinol oxidase activity  [isa: 0015002  0016491  0003824  0003674 ]
GO:0004457,  lactate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0016615,  malate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004470,  malic enzyme activity  [isa: 0016615  0016491  0003824  0003674 ]
GO:0004471,  malate dehydrogenase  [isa: 0004470  0016615  0016491  0003824  0003674 ]
GO:0030060,  L-malate dehydrogenase activity  [isa: 0016615  0016491  0003824  0003674 ]
GO:0003857,  3-hydroxyacyl-CoA dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0003862,  3-isopropylmalate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0003938,  IMP dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0003979,  UDP-glucose 6-dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004316,  3-oxoacyl-[acyl-carrier-protein] reductase  [isa: 0016491  0003824  0003674 ]
GO:0004345,  glucose-6-phosphate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004399,  histidinol dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004412,  homoserine dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004448,  isocitrate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004450,  isocitrate dehydrogenase  [isa: 0004448  0016491  0003824  0003674 ]
GO:0004455,  ketol-acid reductoisomerase activity  [isa: 0016491  0003824  0003674 ]
GO:0004616,  phosphogluconate dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0004617,  phosphoglycerate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004764,  shikimate 3-dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0008677,  2-dehydropantoate 2-reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008678,  2-deoxy-D-gluconate 3-dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008679,  2-hydroxy-3-oxopropionate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008703,  5-amino-6- [isa: 0016491  0003824  0003674 ]
GO:0008743,  L-threonine 3-dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008762,  UDP-N-acetylmuramate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008831,  dTDP-4-dehydrorhamnose reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008926,  mannitol-1-phosphate 5-dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0016618,  hydroxypyruvate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0018455,  alcohol dehydrogenase [NAD [isa: 0016491  0003824  0003674 ]
GO:0004022,  alcohol dehydrogenase  [isa: 0018455  0016491  0003824  0003674 ]
GO:0050112,  inositol 2-dehydrogenase activity  [isa: 0004022  0018455  0016491  0003824  0003674 ]
GO:0030266,  quinate 3-dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0030267,  glyoxylate reductase  [isa: 0016491  0003824  0003674 ]
GO:0030604,  1-deoxy-D-xylulose-5-phosphate reductoisomerase activity  [isa: 0016491  0003824  0003674 ]
GO:0033711,  4-phosphoerythronate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0047559,  3-dehydro-L-gulonate 2-dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0047952,  glycerol-3-phosphate dehydrogenase [NAD [isa: 0016491  0003824  0003674 ]
GO:0004367,  glycerol-3-phosphate dehydrogenase [NAD+] activity  [isa: 0047952  0016491  0003824  0003674 ]
GO:0050570,  4-hydroxythreonine-4-phosphate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0050577,  GDP-L-fucose synthase activity  [isa: 0016491  0003824  0003674 ]
GO:0051903,  S- [isa: 0016491  0003824  0003674 ]
GO:0052733,  quinate 3-dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0052734,  shikimate 3-dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0061596,  3-sulfolactaldehyde reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0089714,  UDP-N-acetyl-D-mannosamine dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0099618,  UDP-glucuronic acid dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0003973,   [isa: 0016491  0003824  0003674 ]
GO:0034419,  L-2-hydroxyglutarate oxidase activity  [isa: 0003973  0016491  0003824  0003674 ]
GO:0052852,  very-long-chain- [isa: 0003973  0016491  0003824  0003674 ]
GO:0052853,  long-chain- [isa: 0003973  0016491  0003824  0003674 ]
GO:0052854,  medium-chain- [isa: 0003973  0016491  0003824  0003674 ]
GO:0004368,  glycerol-3-phosphate dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0052590,  sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity  [isa: 0004368  0016491  0003824  0003674 ]
GO:0052591,  sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity  [isa: 0052590  0004368  0016491  0003824  0003674 ]
GO:0047545,  2-hydroxyglutarate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0000104,  succinate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008177,  succinate dehydrogenase  [isa: 0000104  0016491  0003824  0003674 ]
GO:0003995,  acyl-CoA dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004318,  enoyl-[acyl-carrier-protein] reductase  [isa: 0016491  0003824  0003674 ]
GO:0008839,  4-hydroxy-tetrahydrodipicolinate reductase  [isa: 0016491  0003824  0003674 ]
GO:0016631,  enoyl-[acyl-carrier-protein] reductase activity  [isa: 0016491  0003824  0003674 ]
