"Gene.ontology.ID","Definition","Parent.Terms","Term","Gene.name"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","MRPL11"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL12"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","MDN1"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","NOP2"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","FASTKD2"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","MRPL20"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL24"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL6"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL11"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL23A"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","PPAN-P2RY11"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","DDX28"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPF1"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL3"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","BRIX1"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RSL24D1"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","SAMD15"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","DHX30"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","PPAN"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","NLE1"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","WDR18"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPF2"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RPL5"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","MRTO4"
"GO:0000027"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal large subunit biogenesis part-of ribosome assembly"," ribosomal large subunit assembly","RRS1"
"GO:0000028"," The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit."," is-a ribonucleoprotein complex assembly part-of ribosomal small subunit biogenesis part-of ribosome assembly"," ribosomal small subunit assembly","ABT1"
