Uniprot.ID.1,Gene.names.1,Gene.names.2,Uniprot.ID.2,Layer
E1W6V8,artM,artQ,E1W6V9,Metabolic
E1W6W0,artI,artM,E1W6V8,Metabolic
E1W6W0,artI,artQ,E1W6V9,Metabolic
E1W6W0,artI,artJ,E1WBF1,Metabolic
E1W6W7,ybjU,pdxK,E1WCR9,Metabolic
E1W6W7,ybjU,pdxY,E1WFW4,Metabolic
E1W6W8,poxB,SL1344_1284,E1WFL7,PPI
E1W6W8,poxB,entE,E1W997,PPI
E1W6W8,poxB,gcd,E1W841,Metabolic
E1W6W9,hcr,hydN,E1WA88,PPI
E1W6W9,hcr,nuoE,E1WCG5,PPI
E1W6W9,hcr,hyb0,E1WHT8,PPI
E1W6W9,hcr,SL1344_0592,E1W9A5,PPI
E1W6X0,SL1344_0876,SC4B5.11c,E1WEX5,PPI
E1W6X0,SL1344_0876,SL1344_0592,E1W9A5,PPI
E1W6X6,cspD,cspC,E1WG74,PPI
E1W6X6,cspD,dppD,E1WD57,PPI
E1W6X7,SL1344_0883,dps,E1W9W7,PPI
E1W6X8,clpA,dps,E1W9W7,PPI
E1W6X8,clpA,SL1344_0883,E1W6X7,PPI
E1W6Y2,SL1344_0888,SL1344_1838,E1WGE4,PPI
E1W6Y5,infA,rpsL,E1WIM5,PPI
E1W6Y5,infA,SL1344_3137,E1WHV1,PPI
E1W6Y7,aat,SL1344_3086,E1WHQ0,PPI
E1W6Z0,trxB,minE,E1WG53,PPI
E1W6Z0,trxB,gyrI,E1WGZ4,PPI
E1W6Z0,trxB,trxC,E1WJC7,Metabolic
E1W6Z0,trxB,SL1344_1736,E1WG45,PPI
E1W6Z0,trxB,ubiG,E1WCB6,PPI
E1W6Z0,trxB,proP,E1WG83,PPI
E1W6Z0,trxB,SL1344_0244,E1W8B5,PPI
E1W6Z0,trxB,SL1344_1307,E1WFN9,Metabolic
E1W6Z0,trxB,trxA,E1WDY2,PPI
E1W6Z0,trxB,bolA,E1W8V6,PPI
E1W6Z0,trxB,nrdH,E1WA55,PPI
E1W6Z1,lrp,serC,E1W708,Transcriptional_regulatory
E1W6Z1,lrp,folA,E1W7W0,PPI
E1W6Z1,lrp,osmC,E1WBP4,Transcriptional_regulatory
E1W6Z1,lrp,kbl,E1WDD8,Transcriptional_regulatory
E1W6Z1,lrp,ada,E1WCA6,Transcriptional_regulatory
E1W6Z1,lrp,SL1344_1492,E1WBP3,Transcriptional_regulatory
E1W6Z1,lrp,SL1344_1632,E1WC32,PPI
E1W6Z1,lrp,gltB,E1WIB3,Transcriptional_regulatory
E1W6Z1,lrp,gltD,E1WIB4,Transcriptional_regulatory
E1W6Z1,lrp,yojI,E1WCA4,Transcriptional_regulatory
E1W6Z1,lrp,alkB,E1WCA5,Transcriptional_regulatory
E1W6Z1,lrp,SL1344_1205,E1WFD6,Transcriptional_regulatory
E1W6Z1,lrp,gcvT,E1WHJ5,Transcriptional_regulatory
E1W6Z1,lrp,ilvA,E1WDX2,Transcriptional_regulatory
E1W6Z1,lrp,glpG,E1WIV0,PPI
E1W6Z1,lrp,osmY,E1WB92,Transcriptional_regulatory
E1W6Z1,lrp,gcvH,E1WHJ4,Transcriptional_regulatory
E1W6Z1,lrp,SL1344_3042,E1WHK6,Transcriptional_regulatory
E1W6Z1,lrp,tdh,E1WDD7,Transcriptional_regulatory
E1W6Z1,lrp,lrp,E1W6Z1,Transcriptional_regulatory
E1W6Z1,lrp,rnk,E1W9B7,PPI
E1W6Z1,lrp,stpA,E1WA48,Transcriptional_regulatory
