Samle.Names,groups
HeLa.S3.WT.00_h.R1,WT.00_h
HeLa.S3.WT.00_h.R2,WT.00_h
HeLa.S3.WT.00_h.R3,WT.00_h
HeLa.S3.WT.02_h.R1,WT.02_h
HeLa.S3.WT.02_h.R2,WT.02_h
HeLa.S3.WT.02_h.R3,WT.02_h
HeLa.S3.WT.04_h.R1,WT.04_h
HeLa.S3.WT.04_h.R2,WT.04_h
HeLa.S3.WT.04_h.R3,WT.04_h
HeLa.S3.WT.08_h.R1,WT.08_h
HeLa.S3.WT.08_h.R2,WT.08_h
HeLa.S3.WT.08_h.R3,WT.08_h
HeLa.S3.WT.16_h.R1,WT.16_h
HeLa.S3.WT.16_h.R2,WT.16_h
HeLa.S3.WT.16_h.R3,WT.16_h
HeLa.S3.WT.24_h.R1,WT.24_h
HeLa.S3.WT.24_h.R2,WT.24_h
HeLa.S3.WT.24_h.R3,WT.24_h
