Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
comX1,810,781,427,407,613,675,406,332,4290,1088,4976,3028,35199,39235,30236,57647,23049,71199
dnaA,8325,7697,4178,4139,24158,22577,30535,26411,9422,10145,16718,19934,11535,10586,11883,5998,2701,8201
dnaN,13511,11981,6816,6136,51622,52352,65574,52143,22272,24172,42116,49008,25814,23378,24399,9769,4842,13423
SPD_0003,1040,1020,609,585,2700,2496,2807,2724,1624,1395,2170,2539,1598,1448,1485,557,355,1051
ychF,33854,29745,18169,16692,39238,35754,38623,36901,22768,20585,16930,20884,19683,16420,16127,18198,8450,19702
pth,4713,3777,4035,3491,2444,2535,2023,1934,3089,3142,2174,2773,3267,1873,2209,3716,1826,3107
mfd,29335,21453,23671,20471,6260,6016,5217,5162,11354,11529,6931,9543,11939,5734,6553,13824,7203,12084
SPD_0007,4728,3613,3317,2981,1609,1594,1336,922,1735,1775,1004,1087,1572,1615,1201,2291,1173,2389
SPD_0008,8047,6614,5334,5160,3410,3236,2504,2076,3083,2655,1406,1807,2750,2508,2602,3726,1762,4127
SPD_0009,1654,1355,1306,1264,695,702,521,392,658,722,384,434,777,617,459,898,412,872
SPD_0010,38270,28754,25840,22852,12284,11466,8433,6557,12213,11769,5355,7164,10726,8847,8615,16829,7919,15990
tilS,42306,32034,26642,22906,6154,6310,5004,4053,7497,7642,4130,5482,7576,5564,5310,9544,5008,10074
hpt,78409,65088,56604,50852,25831,25321,28821,21756,17809,17324,12133,15652,17202,15120,12279,23539,11603,22013
ftsH,292828,263617,197018,189829,137546,125427,149691,155583,85205,75830,55429,67854,66562,47862,47828,86840,38704,88310
tRNA-Glu-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrsA,6247,6214,2180,2175,15924,2933,9450,18684,3057,9647,1649,3150,11303,6392,2789,3307,1107,21193
tRNA-Ala-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rrlA,14174,16534,5771,5470,43604,8757,21903,42808,5856,30554,4902,8541,25013,16685,8576,7577,2937,36954
rrfA,30,31,31,42,48,29,18,9,26,147,15,15,33,102,18,63,30,54
tRNA-Asn-1,50,49,33,18,1,1,1,0,0,0,0,0,4,9,6,5,0,5
SPD_0021,813,722,428,434,1252,1114,1735,1748,677,639,1075,1096,596,1135,907,737,310,1070
SPD_0022,3138,2677,872,842,288,222,229,233,301,211,206,234,431,326,404,306,300,685
comW,1112,928,314,297,947,866,1181,1326,3233,1233,6952,4597,25147,54541,32701,52919,25138,58335
purA,28352,25101,48430,47226,80821,66952,91306,115202,47307,34303,48044,48317,110963,162575,170033,128920,54420,239443
ccnC,3171,1953,6007,5131,6228,6839,9389,6794,3970,3317,4269,5336,10026,13505,11427,10740,4249,16127
SPD_0025,843,773,416,460,544,477,926,1078,315,322,469,347,320,344,358,250,172,427
scRNA,127,104,115,136,19,28,39,57,20,34,12,22,25,17,17,12,6,22
dut,3223,2873,1576,1615,959,717,963,1236,665,464,540,533,1400,1714,1721,671,337,928
SPD_0028,7131,6181,3103,3375,2442,1831,2437,3002,1271,1067,1246,1246,3796,4460,4364,1505,669,2332
radA,13888,13300,4817,5596,4647,3549,4485,7421,2852,1993,2673,2420,9623,10926,12687,3465,1224,5714
SPD_0030,8407,7574,3919,3785,18171,15622,26316,33595,11268,8706,9956,11547,14586,14784,14964,11927,5566,13705
SPD_0031,12790,10502,7346,6992,22607,20288,31595,36043,15331,13564,14126,16730,18587,18688,17031,14759,7382,14939
SPD_0032,1910,1411,945,765,1955,1853,2996,3306,1426,1399,1207,1726,1757,2084,1638,1484,678,1445
prs1,34297,27859,28225,27891,24658,21316,16592,19007,23306,18217,9893,10764,20260,22788,21226,36218,17309,47378
SPD_0034,26,47,27,27,18,37,31,24,28,43,22,34,136,227,146,91,27,125
SPD_0035,281,237,108,96,386,278,408,496,304,178,478,291,2028,3824,4171,625,226,2507
SPD_0036,122,91,38,53,156,153,193,230,132,84,193,116,998,1849,1925,372,111,1148
SPD_0037,682,545,338,326,1183,1008,1256,1157,1074,559,1593,1311,8730,14619,14792,2900,933,8361
SPD_0038,42029,37230,31409,31302,50140,39615,44046,57928,28640,22551,20471,22916,18012,18234,21810,18887,8435,28818
SPD_0039,3872,3562,3238,3423,13052,11209,14103,15407,4218,3464,4985,5422,4273,3587,3671,3073,1406,4440
SPD_0040,28631,26487,24768,23948,20934,23174,35880,33540,13646,11864,17323,16387,8990,12240,15006,8784,3534,13907
araT,6484,7261,4852,5063,23711,17318,32539,49311,8179,7283,12583,14596,7658,8245,10147,4232,1961,7892
recO,4754,4896,3811,4219,14080,11295,18338,24243,5318,5260,7749,9210,4874,4766,6203,2496,1040,4342
plsX,5241,5962,3775,3974,12306,8906,14505,23538,4739,3925,5934,6716,3775,3755,5320,1715,726,3881
SPD_0044,1582,1431,1236,1218,3404,2749,4010,4296,1363,1445,1994,2444,1264,1325,1299,504,296,1000
SPD_0045,2173,2047,1387,1579,4234,3535,5374,5373,1725,1582,2294,2912,1513,1584,1771,690,244,1252
blpK,2377,2339,2314,2455,4000,3457,5152,5504,1664,1686,2720,2819,2515,3346,2699,3721,1686,3404
SPD_0047,707,546,751,678,853,838,1163,923,340,386,817,923,675,1046,934,1533,750,1138
SN2,8292,6760,9606,9198,9868,11266,17285,10220,5338,5854,9424,11263,12447,23235,17277,30639,13689,19724
SPD_0048,10,11,39,39,16,13,16,20,16,9,4,6,19,31,22,24,16,29
comA,1495,1396,1110,1274,3467,2617,4250,6793,9653,3009,17061,11893,61844,91469,106810,68687,27405,162686
comB,896,857,717,675,1599,1177,2137,3166,4186,1385,9447,6613,35556,33351,43355,21909,9561,59499
purC,804,632,13061,12783,1077,823,445,359,6161,5501,223,328,4915,603,810,24768,9962,7797
