Gene.ontology.ID,Function,Gene.name,Uniprot.ID
GO:0000015,  phosphopyruvate hydratase complex  [isa: 1902494  0032991  0005575 ],eno,E1WAJ6
GO:0000049,  tRNA binding  [isa: 0003723  0003676  0097159  0005488  0003674 ],ileS,E1W7S0
GO:0000049,  tRNA binding  [isa: 0003723  0003676  0097159  0005488  0003674 ],thiI,E1W8T5
GO:0000103,  sulfate assimilation  [isa: 0006790  0044237  0009987  0008150 ],cysN,E1WAH8
GO:0000103,  sulfate assimilation  [isa: 0006790  0044237  0009987  0008150 ],cysI,E1WAJ1
GO:0000104,  succinate dehydrogenase activity  [isa: 0016491  0003824  0003674 ],sdhC,E1W9M5
GO:0000155,  phosphorelay sensor kinase activity  [isa: 0004673  0004672  0016301  0016740  0003824  0003674 ],barA,E1WAK4
GO:0000156,  phosphorelay response regulator activity  [isa: 0060089  0003674 ],prpR,E1W8M8
GO:0000160,  phosphorelay signal transduction system  [isa: 0035556  0007165  0009987  0008150 ],kdpE,E1W9J6
GO:0000160,  phosphorelay signal transduction system  [isa: 0035556  0007165  0009987  0008150 ],prpR,E1W8M8
GO:0000160,  phosphorelay signal transduction system  [isa: 0035556  0007165  0009987  0008150 ],barA,E1WAK4
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],pcnB,E1W856
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],prpR,E1W8M8
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],glnK,E1W8X2
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],coaE,E1W812
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],rhlE,E1W9V7
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],serS,E1W6Z5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],proB,E1W8I5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],pyrH,E1W890
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],accA,E1W8A4
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],lon,E1W8W0
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],ftsK,E1W6Z2
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],galK,E1W9R2
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],aroL,E1W8P9
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],artP,E1W6W1
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],murF,E1W7Z6
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],hpt,E1W842
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],thiI,E1W8T5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],adk,E1W8Z6
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],cmk,E1W711
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],ileS,E1W7S0
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],cydD,E1W6Y9
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],panC,E1W853
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],murC,E1W801
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],recD,E1WAN6
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],citG,E1W9C0
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],mukB,E1W725
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],fucK,E1WAM2
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],thrA,E1W7M5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],dnaK,E1W7N5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],barA,E1WAK4
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],sucD,E1W9N2
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],cysN,E1WAH8
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],aas,E1WAQ3
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],murD,E1W7Z8
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],helD,E1W7A7
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],murE,E1W7Z5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],fepC,E1W991
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],uvrB,E1W9T6
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],ribF,E1W7R9
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],thrB,E1W7M6
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],polB,E1W7X0
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],purK,E1W940
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],sitB,E1WAA7
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],wrbA,E1W7F0
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],htpG,E1W8Z5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],cydC,E1W6Y8
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],bioD,E1W9T5
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],clpA,E1W6X8
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],sucC,E1W9N1
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],secA,E1W808
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],moaA,E1W9T9
GO:0000166,  nucleotide binding  [isa: 0036094  0005488  0003674 ],bioD,E1W9T5
GO:0000256,  allantoin catabolic process  [isa: 1901565  1901564  0006807  0008152  0008150 ],allC,E1W934
GO:0000256,  allantoin catabolic process  [isa: 1901565  1901564  0006807  0008152  0008150 ],allB,E1W930
GO:0000256,  allantoin catabolic process  [isa: 1901565  1901564  0006807  0008152  0008150 ],allA,E1W923
GO:0000270,  peptidoglycan metabolic process  [isa: 0030203  0006022  1901564  0006807  0008152  0008150 ],rlpA,E1W9D9
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],gpt,E1W8I1
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],pgm,E1W9J2
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],eno,E1WAJ6
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],murE,E1W7Z5
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],entD,E1W985
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],galK,E1W9R2
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],sucC,E1W9N1
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],aroL,E1W8P9
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],dxs,E1W8T2
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],bioD,E1W9T5
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],bioD,E1W9T5
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],poxB,E1W6W8
GO:0000287,  magnesium ion binding  [isa: 0046872  0043169  0043167  0005488  0003674 ],prpB,E1W8M9
GO:0000917,  division septum assembly  [isa: 0090529  0022607  0016043  0009987  0008150 ],sulA,E1W7A3
GO:0000917,  division septum assembly  [isa: 0090529  0022607  0016043  0009987  0008150 ],ftsI,E1W7Z4
GO:0002161,  aminoacyl-tRNA editing activity  [isa: 0052689  0016787  0003824  0003674 ],ileS,E1W7S0
GO:0003333,  amino acid transmembrane transport  [isa: 0006865  0046942  0015711  0006820  0006811  0006810  0051234  0051179  0008150 ],artP,E1W6W1
GO:0003333,  amino acid transmembrane transport  [isa: 0006865  0046942  0015711  0006820  0006811  0006810  0051234  0051179  0008150 ],putP,E1W7F5
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],polB,E1W7X0
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],dnaQ,E1W8D0
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],dnaE,E1W8A3
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],rhlE,E1W9V7
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],rpsA,E1W712
GO:0003676,  nucleic acid binding  [isa: 0097159  0005488  0003674 ],cspE,E1W9D0
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],pdhR,E1W823
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],helD,E1W7A7
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],lrp,E1W6Z1
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],allR,E1W924
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],sirC,E1WAB2
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],cbpA,E1W7E3
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],recD,E1WAN6
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],nhaR,E1W7R4
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],ftsK,E1W6Z2
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],seqA,E1W9J1
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],hilD,E1WAC0
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],leuO,E1W7Y7
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],cspE,E1W9D0
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],polB,E1W7X0
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],mukB,E1W725
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],sfsA,E1W859
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],priB,E1WAS7
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],csgD,E1W7H1
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],uvrB,E1W9T6
GO:0003677,  DNA binding  [isa: 0003676  0097159  0005488  0003674 ],rnk,E1W9B7
